image,label
anger/230.jpg,5
disgust/245.jpg,2
disgust/249.jpg,2
joy/253.jpg,4
disgust/255.jpg,2
fear/257.jpg,3
disgust/261.jpg,2
joy/263.jpg,4
fear/264.jpg,4
disgust/264.jpg,7
anger/266.jpg,4
surprise/268.jpg,4
joy/269.jpg,4
anger/270.jpg,3
joy/270.jpg,2
disgust/270.jpg,7
fear/270.jpg,3
surprise/270.jpg,4
fear/272.jpg,4
surprise/272.jpg,2
disgust/273.jpg,2
joy/272.jpg,4
sadness/272.jpg,5
joy/273.jpg,4
sadness/273.jpg,3
disgust/274.jpg,2
sadness/274.jpg,3
sadness/275.jpg,4
sadness/276.jpg,3
joy/276.jpg,4
anger/277.jpg,3
sadness/277.jpg,4
joy/277.jpg,4
disgust/278.jpg,2
sadness/278.jpg,3
fear/279.jpg,3
sadness/279.jpg,5
joy/279.jpg,4
joy/280.jpg,4
fear/280.jpg,7
disgust/281.jpg,2
sadness/282.jpg,5
joy/281.jpg,4
surprise/281.jpg,4
joy/282.jpg,4
joy/283.jpg,3
sadness/283.jpg,2
disgust/284.jpg,2
joy/284.jpg,4
sadness/284.jpg,3
joy/285.jpg,4
fear/286.jpg,2
sadness/286.jpg,5
anger/287.jpg,5
disgust/288.jpg,3
sadness/287.jpg,5
joy/287.jpg,4
joy/288.jpg,4
sadness/288.jpg,4
anger/290.jpg,7
sadness/289.jpg,3
joy/289.jpg,4
joy/290.jpg,5
joy/291.jpg,3
joy/292.jpg,4
sadness/292.jpg,4
disgust/292.jpg,2
disgust/293.jpg,2
joy/293.jpg,4
surprise/295.jpg,4
joy/295.jpg,4
anger/296.jpg,7
surprise/297.jpg,4
joy/296.jpg,4
sadness/297.jpg,3
joy/297.jpg,4
joy/298.jpg,4
joy/299.jpg,4
joy/300.jpg,4
sadness/299.jpg,4
surprise/300.jpg,4
sadness/300.jpg,7
fear/301.jpg,2
sadness/301.jpg,5
sadness/302.jpg,5
sadness/303.jpg,3
joy/303.jpg,7
surprise/305.jpg,4
sadness/305.jpg,3
anger/306.jpg,3
joy/305.jpg,4
surprise/306.jpg,4
joy/306.jpg,3
sadness/307.jpg,5
joy/307.jpg,7
disgust/307.jpg,5
disgust/309.jpg,2
fear/309.jpg,3
fear/310.jpg,3
surprise/310.jpg,4
anger/311.jpg,3
sadness/310.jpg,4
surprise/311.jpg,4
fear/312.jpg,3
sadness/311.jpg,4
joy/311.jpg,4
joy/312.jpg,4
joy/313.jpg,4
surprise/313.jpg,4
sadness/313.jpg,5
disgust/313.jpg,2
disgust/314.jpg,4
fear/314.jpg,3
anger/315.jpg,4
sadness/314.jpg,5
sadness/315.jpg,5
disgust/316.jpg,2
joy/316.jpg,4
sadness/317.jpg,5
